"IDs","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia","Bacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Subdoligranulum","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Dialister","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus","Bacteria|Firmicutes|unclassified","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Parasutterella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Incertae_Sedis_XIV|Blautia","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Sutterella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium","Bacteria|Bacteroidetes|unclassified","Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Akkermansia","Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Propionibacterium","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas","Bacteria|Firmicutes|Clostridia|unclassified","Bacteria|Proteobacteria|Alphaproteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Coprobacillus","Bacteria|Proteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Succiniclasticum","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter","Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Collinsella","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Acidaminococcus","Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Megasphaera"
"700114125",2466,1334,767,541,1274,1358,734,236,783,71,439,304,24,103,89,14,115,13,108,0,0,50,0,0,131,0,60,0,0,482,32,0,59,18,0,0,0,2,0,21,0,10,5,3,8,0,0,19,0,0
"700105856",4828,298,465,733,1022,1457,155,440,470,831,317,83,16,0,270,406,0,0,67,0,0,4,0,4,1,0,239,0,0,48,67,0,44,1,0,0,0,2,0,7,0,3,2,7,12,0,0,2,80,0
"700021824",1130,216,235,323,199,142,128,77,220,19,188,58,0,16,262,9,5,3,19,0,10,10,16,1,0,0,50,0,0,0,2,0,11,0,0,0,11,1,0,10,15,1,7,0,2,0,0,18,0,0
"700024998",2603,565,420,684,410,515,398,118,127,530,164,44,0,0,71,120,12,14,29,3,9,21,3,9,8,0,47,1,0,56,49,2966,1,10,1359,0,5,0,0,2,3,1,34,2,1,1,0,3,1,0
"700037122",1238,451,75,121,311,271,97,24,63,14,26,74,0,0,16,1,116,1,36,3,0,2,19,0,16,2,19,0,0,0,3,0,10,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0
"700013596",1313,10,384,180,83,767,162,60,107,43,24,10,203,0,13,13,0,0,33,0,0,8,0,6,112,0,28,0,0,46,14,0,5,1,1,71,8,47,0,6,1,3,16,1,0,0,0,2,31,0
"700097859",929,163,268,561,80,422,20,258,69,97,97,28,30,24,73,39,29,84,30,0,0,16,38,18,3,0,0,0,0,0,4,11,9,38,0,0,1,0,0,59,0,2,2,4,14,0,0,13,0,0
"700097650",1565,147,821,896,241,371,742,683,78,1830,87,153,127,856,64,819,13,44,30,282,0,115,300,11,234,0,47,15,240,21,21,0,18,12,0,0,28,0,0,18,4,3,137,7,8,0,0,11,0,0
"700096380",1107,99,226,419,140,214,43,85,79,65,121,30,15,0,54,72,0,1,46,0,0,23,3,2,20,0,0,0,0,49,11,70,28,3,3,0,0,0,0,17,5,1,2,8,2,0,0,2,0,0
"700035804",1321,396,568,228,44,360,106,25,15,10,319,58,39,52,20,0,347,0,78,0,0,6,0,2,3,0,10,0,0,39,1,0,0,2,0,0,0,0,0,4,8,0,17,1,1,0,0,2,1,0
"700106170",10523,3144,3013,2457,3140,1551,1578,522,712,409,202,945,304,459,562,189,3,48,361,4,327,233,94,73,23,0,107,0,0,51,425,0,114,64,1,30,11,0,0,43,24,15,19,2,12,0,0,1,10,0
"700103478",5727,1646,538,1535,1389,2411,1325,1283,865,201,153,167,112,169,140,262,50,87,48,0,642,59,124,8,3,0,180,0,0,149,177,0,12,18,3,0,6,0,0,14,3,5,36,1,4,0,0,5,32,0
"700038902",3405,542,183,118,280,247,150,281,322,42,233,115,0,61,74,7,0,782,12,278,40,148,135,5,0,0,34,22,103,13,3,174,8,18,14,0,56,2,0,5,0,1,8,5,2,2,0,9,64,0
"700101366",1794,52,80,251,250,175,47,111,58,20,87,38,0,151,148,0,7,4,19,0,145,7,1,1,6,0,8,0,0,23,1,16,8,8,5,0,6,0,0,0,0,0,2,1,7,0,0,1,95,0
"700105306",4194,695,250,779,853,661,307,513,116,181,839,6,0,230,34,70,87,52,36,0,290,172,134,16,0,0,50,0,0,162,20,0,32,10,4,0,0,2,0,0,0,1,12,0,2,0,0,0,1,0
"700024107",11736,3383,2406,3687,7374,674,1867,1270,1655,436,1124,306,0,1146,696,281,25,48,427,260,214,839,89,15,0,0,189,1233,0,52,286,0,174,25,6,0,106,440,71,36,68,19,8,9,19,31,0,54,126,30
"700109943",4229,407,203,177,209,1610,268,416,239,129,165,248,1,183,71,40,163,204,76,5,0,22,3,0,20,0,0,0,238,242,3,0,10,24,0,0,6,1,0,16,1,2,0,13,0,0,0,2,29,0
"700038158",1891,293,326,406,90,575,322,69,71,13,43,48,0,15,60,8,18,4,7,3,20,14,38,3,0,0,40,0,0,17,17,0,3,3,0,0,27,0,0,14,28,5,31,0,1,0,0,3,0,0
"700097022",1083,81,655,362,13,461,92,68,18,20,53,63,1,117,10,27,2,448,7,0,0,30,5,0,0,0,110,0,0,27,10,0,2,3,0,0,2,0,0,3,0,0,13,1,0,0,0,3,0,0
"700021876",5623,5742,1389,1752,2957,1284,233,990,1860,54,404,555,0,0,369,124,0,4,394,2,0,9,1015,5,0,0,126,0,0,0,39,0,32,33,0,0,17,29,0,3,0,51,9,11,83,0,1,51,1,0
"700014724",6715,1313,925,444,392,1701,886,921,215,638,171,610,0,909,77,143,2348,121,365,0,0,63,373,342,11,0,147,0,0,0,25,0,3,4,0,0,9,1,0,20,3,21,16,0,1,0,0,14,0,0
"700014723",5048,1229,717,397,247,1130,459,676,171,401,141,572,0,646,74,109,1934,82,223,0,0,64,320,167,5,0,108,0,0,0,10,0,3,5,2,0,4,0,0,7,3,5,7,0,1,0,0,13,1,0
"700038322",2134,921,339,558,378,511,419,292,46,44,113,209,399,3,133,5,0,321,33,676,477,156,28,83,0,0,13,212,8,80,10,5,9,1,1,0,11,0,0,16,8,2,9,0,1,0,0,2,1,0
"700103327",4,4,2,9,165,0,0,0,8,730,3,95,1,0,10,211,0,0,28,10,0,0,0,0,0,22,0,0,0,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,7,0,3,0,2,0
"700032244",265,51,343,314,110,118,37,42,41,1,360,106,0,0,15,7,0,0,98,0,0,0,11,0,0,0,7,0,0,0,2,0,6,19,0,0,7,2,0,0,6,1,0,3,0,44,0,2,0,0
"700014836",2215,990,639,1547,729,562,281,570,35,864,139,28,257,96,91,357,124,367,40,478,36,158,1,151,25,0,106,4,0,26,81,6,144,11,1,0,3,0,468,13,0,3,2,0,1,0,0,10,1,0
"700014837",7863,2609,2091,4556,2076,1955,1264,1923,115,3494,157,74,1178,206,262,778,537,1777,160,1899,123,385,4,798,104,3,455,18,0,87,1007,10,514,23,6,0,6,1,1668,29,0,10,20,0,13,0,0,24,4,0
"700037179",1107,212,73,76,137,295,67,997,29,145,3,58,77,0,1,18,4,6,43,0,47,16,0,9,96,0,55,0,0,37,36,0,7,13,144,0,4,2,0,0,17,15,1,0,0,0,0,1,4,0
"700114246",2837,292,309,175,911,298,384,506,504,46,28,30,0,14,35,1,0,4,14,18,0,25,53,7,70,0,0,2,0,39,1,0,2,0,0,5,1,1,0,11,10,7,15,2,3,0,0,1,0,0
"700106784",1520,560,493,327,512,1088,184,400,94,130,81,289,0,76,38,73,6,8,19,0,83,53,0,10,95,0,84,0,0,0,9,2,10,1,14,0,28,49,0,4,2,2,14,2,4,0,0,1,2,0
"700014490",11708,1900,489,3230,1274,0,198,856,867,224,464,10,373,1356,195,513,753,51,580,0,0,185,0,11,125,0,0,0,0,0,67,0,43,18,0,0,15,8,0,5,0,23,0,41,32,0,0,27,0,0
"700024673",3259,140,196,171,202,2566,779,720,80,78,83,195,0,1055,12,5,1614,31,49,1,0,165,140,3,49,0,52,0,0,92,8,0,3,4,0,0,0,2,0,4,0,5,2,0,1,0,0,6,0,0
"700096612",1171,288,220,81,59,1194,48,0,124,1,20,44,2,0,24,0,19,0,75,30,2,2,5,0,1,0,4,9,0,0,0,0,10,3,0,0,12,0,0,5,4,0,0,3,3,1,0,2,0,0
"700106093",16634,4379,829,571,2107,762,526,0,2162,112,234,1181,4627,0,590,52,11,0,127,4,5448,6,4,1,0,0,0,0,0,0,11,0,51,23,1,0,17,145,0,0,10,120,0,0,12,0,0,0,8,0
"700033152",7315,1398,1299,765,413,2441,296,1458,105,1251,966,565,16,21,151,916,0,9,70,38,144,27,0,13,132,0,271,0,0,0,86,0,102,73,1,38,1,8,0,99,7,9,2,15,1,0,0,4,8,0
"700033153",15728,3082,3048,1704,1094,6624,1188,3224,174,3024,2530,1090,46,60,160,2108,0,20,156,78,408,114,0,26,472,0,596,0,0,0,260,0,188,130,0,78,4,8,0,104,34,28,6,38,6,0,2,6,18,0
"700038472",5281,4370,569,1518,3575,231,471,1041,2404,324,285,252,0,11,372,34,21,12,1244,737,530,99,189,9,0,2,153,146,0,73,30,426,177,250,146,0,2,2,0,6,487,17,12,156,28,0,2,3,15,5
"700023987",1882,930,874,604,709,358,265,210,392,226,736,496,4,11,50,75,32,1,134,52,0,5,25,0,628,0,17,26,3,3,25,0,36,3,0,0,43,5,0,18,64,26,1,3,4,0,0,26,0,0
"700014845",11397,6178,459,177,1122,2,71,674,16,8,0,27,1705,0,43,6,145,0,46,3,0,22,0,1,0,0,0,4,1111,0,3,0,2,33,0,0,0,5,0,0,1,1,0,0,3,134,0,0,0,0
"700014844",5893,4162,188,164,630,1,13,404,15,7,0,23,723,0,26,4,67,0,28,3,0,41,0,0,0,0,0,0,571,0,0,0,3,11,0,0,1,0,0,0,0,1,0,1,1,87,0,0,0,0
"700038053",6433,2525,2055,5549,3063,2080,2826,1079,368,663,60,494,0,318,1490,191,31,79,113,2502,96,265,12,23,41,3,206,24,0,183,91,5,7,55,2,1640,1124,63,221,27,5,21,23,2,2,0,0,9,5,1
"700111318",3740,357,784,317,388,119,221,0,782,2,2,227,0,6,241,2,11,0,150,0,0,3,146,0,6,0,6,0,0,0,2,0,68,18,0,0,98,1,0,154,0,1,5,7,25,1,0,9,0,0
"700034254",2473,125,298,466,263,114,131,696,54,3,14,426,97,273,21,64,77,2,222,28,0,17,0,2,1,0,57,0,0,0,1,0,75,31,0,0,0,36,0,11,27,18,17,5,9,0,0,0,0,0
"700024509",8271,1760,688,897,1903,1837,388,0,1119,95,256,302,0,0,660,42,0,0,182,2,855,10,38,3,163,0,0,0,0,0,25,0,24,116,1,0,1,1,0,8,5,19,1,8,77,0,0,7,8,0
"700023313",1922,1798,3207,3610,2221,401,1241,443,497,553,325,1404,0,104,1579,354,66,9,198,2220,202,34,1,6,133,0,50,10,0,60,78,3,139,226,1,304,236,372,49,69,43,161,8,6,39,0,0,4,2,0
"700102541",1009,69,338,1419,40,620,136,352,11,76,70,39,6,48,23,20,0,0,13,6,23,5,3,2,0,0,33,8,17,90,10,0,1,1,0,0,1,51,0,18,42,1,58,0,3,35,0,0,40,0
"700024318",3530,2255,792,925,1179,820,987,413,379,146,255,232,364,256,102,41,2,11,87,102,114,299,0,11,123,0,83,1176,1,95,29,0,23,47,2,0,6,164,0,5,17,38,12,0,17,0,0,1,0,0
"700023936",6943,3113,367,381,593,611,141,391,445,62,11,109,513,28,91,21,8,25,11,0,1331,22,0,1,11,0,89,0,0,60,0,4,56,22,6,0,4,46,0,8,41,15,4,5,62,82,0,10,6,53
"700023539",4356,3198,1712,1327,3141,354,784,0,2671,57,771,2474,1,0,1597,111,0,0,43,0,99,6,156,2,93,0,0,1,0,0,70,0,19,71,0,0,0,0,0,5,0,6,0,0,13,0,0,2,1,0
"700103710",5640,218,460,512,790,1348,348,1103,211,128,116,411,0,0,49,32,945,0,217,0,0,18,142,11,2,2,0,0,0,0,35,0,77,42,1,0,33,11,0,3,1,22,1,11,8,0,0,2,0,0
"700015415",4169,1720,3859,3065,1073,1694,1611,99,464,1766,1419,1083,1644,415,81,1858,0,0,279,3,0,7,1,4,65,0,16,1,0,9,133,0,44,35,0,0,21,2,0,8,16,26,18,2,16,0,0,22,0,346
"700015414",2036,853,2385,1609,406,748,424,49,194,1309,907,444,647,195,53,764,0,1,116,1,0,13,1,3,40,0,7,1,0,4,60,0,10,9,0,0,5,1,0,5,5,10,8,1,2,0,0,12,0,109
"700097437",1879,176,184,65,126,97,164,28,54,1,99,150,84,0,52,4,0,0,26,9,0,2,0,1,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,6,0,0,12,6,42,0,0,7,0,0
"700096530",1072,75,138,258,155,39,27,204,161,44,11,37,0,47,52,5,93,147,27,0,0,124,8,3,0,0,23,0,0,0,4,11,25,3,4,0,11,0,0,6,3,0,10,7,3,1,0,3,1,0
"700095975",2231,65,465,698,488,769,194,131,47,99,129,17,0,0,83,5,0,0,29,0,0,6,55,2,0,0,49,0,0,55,10,0,3,11,0,0,1,3,0,4,0,2,26,3,5,0,0,1,13,0
"700101600",623,51,122,302,84,393,116,177,49,125,5,45,0,64,19,18,1,2,6,7,39,85,69,10,0,0,21,130,224,18,1,84,5,7,12,0,5,67,0,12,0,1,8,2,8,0,0,1,16,0
"700113093",5636,1424,361,490,821,0,485,0,191,29,0,33,4,0,123,38,314,0,241,17,0,44,0,2,0,0,0,1,779,0,8,0,51,28,0,0,1,81,0,1,110,18,0,80,25,0,0,0,0,0
"700095669",680,204,294,620,75,272,46,160,4,49,169,70,48,425,97,248,17,12,7,0,0,10,0,0,150,0,76,0,0,4,10,0,1,13,0,3,1,0,0,16,19,10,9,5,0,0,0,25,0,0
"700110007",754,370,3011,2422,135,12,1375,259,66,125,69,5,0,106,188,116,0,4,54,959,0,49,10,2476,0,0,25,21,86,5,15,0,135,2,0,0,265,266,0,45,6,3,4,1,5,21,0,5,0,17
"700105496",9988,4851,554,788,1875,289,388,151,731,70,128,224,0,43,135,21,0,428,72,4,0,312,345,136,0,0,0,0,0,201,2,0,26,16,0,0,1,29,0,4,3,26,1,2,5,0,0,3,23,0
"700105723",6832,760,477,769,1125,3225,261,156,410,641,11,5,0,48,127,121,0,29,40,1,0,75,304,13,389,0,77,0,0,215,16,0,10,4,6,0,1,6,0,7,10,17,15,0,12,0,0,1,0,0
"700023023",2766,1448,948,788,1289,361,327,289,925,54,892,289,293,0,534,16,0,0,51,2,0,8,0,0,32,2,26,1,0,0,14,0,53,8,0,0,1,0,0,14,3,10,0,3,26,0,1,5,55,0
"700095372",2576,67,207,588,135,744,368,750,27,643,59,13,290,51,69,434,57,28,32,124,4,38,248,12,19,0,43,0,0,181,59,0,16,0,1,0,13,0,0,3,0,4,7,1,1,0,0,2,0,0
"700097994",741,691,244,223,45,80,58,224,32,21,94,68,9,15,47,10,22,297,12,0,0,15,17,568,0,0,23,0,45,4,4,0,10,8,0,0,0,0,0,9,0,1,7,7,10,0,0,10,0,0
"700097710",3679,205,233,673,292,858,207,466,108,117,26,21,0,442,33,37,1,1142,39,0,49,90,136,7,21,0,47,0,0,125,5,0,8,5,0,0,15,0,0,7,1,2,7,0,16,3,0,2,4,2
"700099081",2718,543,440,991,983,237,96,762,143,805,106,40,0,132,200,131,10,150,108,57,221,62,32,38,377,0,109,17,0,19,52,393,14,68,843,0,21,121,0,2,1,0,10,4,14,0,0,6,14,0
"700024615",4629,585,365,187,91,1799,767,755,131,137,235,14,0,850,15,3,127,92,3,0,482,279,67,16,0,0,38,0,0,106,3,0,3,0,1,0,2,1,0,9,0,1,60,0,2,0,0,0,7,0
"700096180",474,77,543,284,126,11,366,74,50,30,154,21,0,8,108,25,0,0,126,171,0,6,11,190,0,0,2,6,34,4,3,0,73,0,0,0,11,181,0,14,27,0,4,4,8,5,1,19,0,18
"700105372",3357,759,1046,750,926,922,358,89,260,343,303,71,79,341,50,37,1,26,48,7,516,469,0,17,29,0,50,866,1,88,49,18,30,39,3,0,3,13,0,0,0,7,8,0,6,0,0,0,10,0
"700100619",749,246,345,885,936,223,84,267,106,70,49,269,54,162,166,32,44,6,37,113,0,7,42,5,2,0,126,0,0,72,9,0,9,22,0,0,12,0,0,24,7,2,5,5,39,0,0,1,0,0
"700113562",3669,1302,1251,467,489,228,301,228,421,202,1406,81,0,0,141,3,78,1,76,0,0,12,83,15,149,0,43,0,0,0,4,128,4,26,135,0,2,0,0,9,5,3,4,7,8,0,0,0,1,0
